scan_id,split,ct_sha256,archive_disk_start_raw,archive_compressed_bytes,shape,spacing,shape_match,spacing_match,affine_max_abs_error,affine_match
953,train,ee9f43b79309950fb89420de5511d64364a9399032b7e3cf236895e0187cb2de,3,75965933,512x512x223,0.318359375x0.318359375x0.5,True,True,0.0,True
954,test,3a346064f36a481c682a8d430685e45bd69f22bcb396067c4c81aa9c3c5b64c3,3,71786569,512x512x206,0.318359375x0.318359375x0.5,True,True,0.0,True
955,train,414df38a00c4113c5954a24e3ba26e8c49f8f9f0e469d73fdbb5f000f319916c,3,96188216,512x512x275,0.318359375x0.318359375x0.5,True,True,0.0,True
956,train,fd7da778f2d1dd7ad7ff17fcefe862a41a95626e9de7e2b6f9a5a93624a0d27a,3,73087258,512x512x221,0.318359375x0.318359375x0.5,True,True,0.0,True
957,val,5c402b3d73ac7e1cf2ba79080c6a9e8292f47541947b9ffbd5045b3f01d428d6,3,82179043,512x512x231,0.341796875x0.341796875x0.5,True,True,0.0,True
958,test,35bb45bbc05e39453ccec8a23390ae8f4cfb1090c97ebea97928ad53240f2f4a,3,79906047,512x512x229,0.34765625x0.34765625x0.5,True,True,0.0,True
959,train,5a54b4db333d0522e2b8639a30c5cc67da48f11e61d85d50df71a120a8b44bed,3,93623999,512x512x275,0.375x0.375x0.5,True,True,0.0,True
960,train,ad38cb4340136abac34e116606285663502e0ff6a538b5970b1fe9917105f33d,3,93239193,512x512x275,0.40625x0.40625x0.5,True,True,0.0,True
961,val,268539eb9c375f3c0d3651d645df40e988ef3c46f9b6de36f4808c4e7e6aaaa8,3,72349185,512x512x206,0.357421875x0.357421875x0.5,True,True,1.4210854715202004e-14,True
963,train,e909702aa9b8674018585eaafa9897c43fa1d3092efc95af04d366ad0fd391fc,3,79967201,512x512x235,0.37890625x0.37890625x0.5,True,True,0.0,True
964,train,4c59eb24829bcb02544e548a6483de03a5967bdfa1b15b70701bd3c6e51ea8a5,3,96467413,512x512x275,0.390625x0.390625x0.5,True,True,0.0,True
965,val,2c93ea4a1f89cac34dab1be30942f475f588237a3636fa98744355a90a4bd0e8,3,94315949,512x512x275,0.38671875x0.38671875x0.5,True,True,0.0,True
966,val,e251066e96567bec755dfb52022499ff74c008566b435a6ebfd5e2fe08c9e5c3,3,93983703,512x512x275,0.330078125x0.330078125x0.5,True,True,0.0,True
967,train,5f2fdb97cfb2d6dab9a5574cdc88b9c8c8030f310c86c30a2aba0b64f3b1ca3e,3,96285317,512x512x275,0.361328125x0.361328125x0.5,True,True,0.0,True
969,train,83a9a6ee7ec2154005ed9aa6c050f6e2737204eb47c113d6387e4fea7bcfb328,3,82573822,512x512x239,0.33984375x0.33984375x0.5,True,True,0.0,True
970,train,40de4abbcb73a29445fb2220832e4903cab480a00462ba3e54c91d2e3967107f,3,69564260,512x512x206,0.361328125x0.361328125x0.5,True,True,1.4210854715202004e-14,True
971,train,061fb7e4dbe9dc692d384d8fd32397de9d58c24edb6353e385c0f204d61dfaca,3,94805550,512x512x275,0.36328125x0.36328125x0.5,True,True,0.0,True
972,test,e799f3cb9218512974fbf8c66c861d0af2d659276a9d0bdefdf4d43d98d32a6d,3,94204143,512x512x275,0.318359375x0.318359375x0.5,True,True,0.0,True
973,test,a1cc878dd40f3be9e7b84a4a5e46a582b7f1daba4bd02794dabee2b5d6b25b06,3,94848965,512x512x275,0.357421875x0.357421875x0.5,True,True,0.0,True
974,val,b2879d2bc08152946e4243a859c932b970a9b90e17b6db6cf0581209f1c45bb3,3,94846418,512x512x275,0.369140625x0.369140625x0.5,True,True,0.0,True
975,train,f592a2a0679d7cb7743e3774d43fb4fbd408b671aa57b8b7d9f2fcaaf144ed7e,3,97019781,512x512x275,0.412109375x0.412109375x0.5,True,True,0.0,True
976,train,f436dcb5ddbbd53970ab80a49acd5e82ff1ba634575748280fa6c1e72755280f,3,92261226,512x512x261,0.341796875x0.341796875x0.5,True,True,0.0,True
977,train,302cb8dff4aa4c8107dd46c7000656bc68ba1dac93d47e07d61048af8ad50fad,3,100801979,512x512x275,0.361328125x0.361328125x0.5,True,True,0.0,True
979,train,18da54deb8694cabdce2951513a1f314cf891520c05f5e216b91545a952e348c,3,80329516,512x512x227,0.349609375x0.349609375x0.5,True,True,0.0,True
980,test,9aa45cd125ac65b269b4db6887a8c86eff1eb9d011474cbf0f1388206d205261,3,82451752,512x512x233,0.357421875x0.357421875x0.5,True,True,0.0,True
982,train,6f5987a77ad9fc51be0f4df1eb8cec76aaf33c8191337f764867fdd67cce7409,3,71717897,512x512x206,0.322265625x0.322265625x0.5,True,True,0.0,True
983,train,368313bd15db2bf94b6f031a88f81ccb76eff7543b6a3c81ba1f094d994e0919,3,98900132,512x512x275,0.318359375x0.318359375x0.5,True,True,0.0,True
984,test,719fab0e73472330f383b1f2999ad0bd4509ff753c441e1470de985c73bc420e,3,95901904,512x512x275,0.44921875x0.44921875x0.5,True,True,0.0,True
